Donor Age,Donor State of Residence,All Donor Types,Deceased Donor,Living Donor
35-49 Years,Illinois,5754,2370,3384
35-49 Years,Indiana,2757,1290,1467
35-49 Years,Iowa,1337,482,855
35-49 Years,Kansas,1121,643,478
35-49 Years,Kentucky,1670,800,870
35-49 Years,Louisiana,1802,1032,770
35-49 Years,Maine,620,250,370
35-49 Years,Maryland,3035,1199,1836
35-49 Years,Massachusetts,2909,1065,1844
35-49 Years,Michigan,4926,2084,2842
35-49 Years,Minnesota,3085,877,2208
35-49 Years,Mississippi,1002,532,470
35-49 Years,Missouri,2372,1315,1057
35-49 Years,Montana,444,173,271
35-49 Years,Nebraska,765,302,463
35-49 Years,Nevada,933,519,414
35-49 Years,New Hampshire,647,237,410
35-49 Years,New Jersey,3897,1523,2374
35-49 Years,New Mexico,743,351,392
35-49 Years,New York,7477,2750,4727
35-49 Years,North Carolina,3311,1592,1719
35-49 Years,North Dakota,366,117,249
35-49 Years,Ohio,5559,2400,3159
35-49 Years,Oklahoma,1391,818,573
35-49 Years,Oregon,1325,544,781
35-49 Years,Pennsylvania,6462,3226,3236
35-49 Years,Puerto Rico,719,367,352
35-49 Years,Rhode Island,456,144,312
35-49 Years,South Carolina,1792,1001,791
35-49 Years,South Dakota,383,138,245
35-49 Years,State unassigned,2709,738,1971
35-49 Years,Tennessee,2623,1417,1206
35-49 Years,,,,
35-49 Years,Texas,9075,4442,4633
35-49 Years,Utah,1170,408,762
35-49 Years,Vermont,278,98,180
35-49 Years,Virginia,3577,1300,2277
35-49 Years,Washington,2237,950,1287
35-49 Years,West Virginia,786,409,377
35-49 Years,Wisconsin,3172,1326,1846
35-49 Years,Wyoming,202,84,118
50-64 Years,All Donor States of Residence,89826,53900,35926
50-64 Years,Alabama,1400,886,514
50-64 Years,Alaska,197,100,97
50-64 Years,Arizona,1505,769,736
50-64 Years,Arkansas,601,392,209
50-64 Years,California,9249,5692,3557
50-64 Years,Colorado,1269,597,672
50-64 Years,Connecticut,1105,487,618
50-64 Years,Delaware,356,263,93
50-64 Years,District of Columbia,236,156,80
50-64 Years,Florida,5107,3564,1543
50-64 Years,Georgia,2424,1584,840
50-64 Years,Hawaii,375,227,148
50-64 Years,Idaho,359,189,170
50-64 Years,Illinois,4121,2513,1608
50-64 Years,Indiana,1572,963,609
50-64 Years,Iowa,902,457,445
50-64 Years,Kansas,769,524,245
50-64 Years,Kentucky,965,644,321
50-64 Years,Louisiana,1218,879,339
50-64 Years,Maine,461,220,241
50-64 Years,Maryland,2186,1236,950
50-64 Years,Massachusetts,2033,967,1066
50-64 Years,Michigan,3514,2040,1474
50-64 Years,Minnesota,2006,834,1172
50-64 Years,Mississippi,658,479,179
50-64 Years,Missouri,1796,1293,503
50-64 Years,Montana,279,143,136
50-64 Years,Nebraska,589,319,270
50-64 Years,Nevada,741,536,205
50-64 Years,New Hampshire,480,220,260
50-64 Years,New Jersey,2994,1593,1401
50-64 Years,New Mexico,482,282,200
50-64 Years,,,,
50-64 Years,New York,5651,2997,2654
50-64 Years,North Carolina,2285,1478,807
50-64 Years,North Dakota,224,94,130
50-64 Years,Ohio,3670,2176,1494
50-64 Years,Oklahoma,968,678,290
50-64 Years,Oregon,918,472,446
50-64 Years,Pennsylvania,5027,3450,1577
50-64 Years,Puerto Rico,724,593,131
50-64 Years,Rhode Island,310,129,181
50-64 Years,South Carolina,1201,880,321
50-64 Years,South Dakota,261,113,148
50-64 Years,State unassigned,1409,646,763
50-64 Years,Tennessee,1667,1147,520
50-64 Years,Texas,5834,3702,2132
50-64 Years,Utah,606,299,307
50-64 Years,Vermont,182,83,99
50-64 Years,Virginia,2353,1221,1132
50-64 Years,Washington,1568,811,757
50-64 Years,West Virginia,541,383,158
50-64 Years,Wisconsin,2329,1411,918
50-64 Years,Wyoming,149,89,60
65 +,All Donor States of Residence,18954,15974,2980
65 +,Alabama,252,214,38
65 +,Alaska,21,16,5
65 +,Arizona,280,229,51
65 +,Arkansas,104,95,9
65 +,California,1669,1332,337
65 +,Colorado,164,127,37
65 +,Connecticut,187,126,61
65 +,Delaware,125,115,10
65 +,District of Columbia,55,49,6
65 +,Florida,1407,1254,153
65 +,Georgia,520,464,56
65 +,Hawaii,39,25,14
65 +,Idaho,28,17,11
65 +,Illinois,897,795,102
65 +,Indiana,239,208,31
65 +,Iowa,143,101,42
65 +,Kansas,184,169,15
65 +,Kentucky,121,100,21
65 +,Louisiana,184,165,19
65 +,,,,
65 +,Maine,95,64,31
65 +,Maryland,537,429,108
65 +,Massachusetts,409,319,90
65 +,Michigan,549,446,103
65 +,Minnesota,386,275,111
65 +,Mississippi,139,126,13
65 +,Missouri,460,413,47
65 +,Montana,31,21,10
65 +,Nebraska,83,72,11
65 +,Nevada,162,145,17
65 +,New Hampshire,80,58,22
65 +,New Jersey,633,495,138
65 +,New Mexico,91,71,20
65 +,New York,1748,1487,261
65 +,North Carolina,477,404,73
65 +,North Dakota,44,33,11
65 +,Ohio,627,529,98
65 +,Oklahoma,170,151,19
65 +,Oregon,122,72,50
65 +,Pennsylvania,1611,1495,116
65 +,Puerto Rico,241,233,8
65 +,Rhode Island,44,35,9
65 +,South Carolina,294,264,30
65 +,South Dakota,55,43,12
65 +,State unassigned,261,195,66
65 +,Tennessee,368,333,35
65 +,Texas,1181,1017,164
65 +,Utah,65,49,16
65 +,Vermont,42,38,4
65 +,Virginia,479,393,86
65 +,Washington,220,148,72
65 +,West Virginia,151,133,18
65 +,Wisconsin,457,369,88
65 +,Wyoming,23,18,5
Unknown,All Donor States of Residence,25,2,23
Unknown,Alabama,1,0,1
Unknown,California,1,0,1
Unknown,Maryland,1,0,1
Unknown,Missouri,1,0,1
Unknown,New York,2,0,2
Unknown,North Carolina,1,1,0
Unknown,,,,
Unknown,State unassigned,12,1,11
Unknown,Texas,2,0,2
Unknown,Virginia,4,0,4
