Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,Louisiana,5950,3242,2708,0,5436,2952,2484,0,3652,2229,1423,0,1498,1070,428,0,984,680,304,0,822,514,308,0,77,47,30,0
,,Maine,1770,919,851,0,1649,851,798,0,783,479,304,0,336,233,103,0,208,132,76,0,136,85,51,0,17,8,9,0
,,Maryland,8941,4398,4543,0,8304,4023,4281,0,4035,2384,1651,0,1436,966,470,0,1162,774,388,0,1007,612,395,0,54,29,25,0
,,Massachusetts,7947,3995,3952,0,7368,3671,3697,0,3063,1804,1259,0,1242,822,420,0,615,416,199,0,536,325,211,0,34,20,14,0
,,Michigan,14393,7209,7184,0,13598,6782,6816,0,6036,3525,2511,0,2549,1689,860,0,1425,947,478,0,1555,889,666,0,154,87,67,0
,,Minnesota,8474,4143,4331,0,8017,3902,4115,0,3091,1785,1306,0,1307,829,478,0,1403,857,546,0,697,410,287,0,90,54,36,0
,,Mississippi,3136,1633,1503,0,2933,1518,1415,0,1726,1014,712,0,721,479,242,0,395,258,137,0,316,198,118,0,63,36,27,0
,,Missouri,7950,4199,3751,0,7236,3799,3437,0,4631,2714,1917,0,1863,1247,616,0,1127,735,392,0,1218,745,473,0,102,59,43,0
,,Montana,1236,614,622,0,1178,579,599,0,577,340,237,0,295,202,93,0,171,115,56,0,104,59,45,0,11,8,3,0
,,Nebraska,2312,1134,1178,0,2183,1070,1113,0,1139,626,513,0,443,282,161,0,422,254,168,0,231,131,100,0,35,16,19,0
,,Nevada,2972,1564,1408,0,2769,1440,1329,0,1687,964,723,0,706,461,245,0,310,212,98,0,344,192,152,0,21,14,7,0
,,New Hampshire,1687,833,854,0,1575,769,806,0,664,391,273,0,270,173,97,0,157,99,58,0,140,71,69,0,3,3,0,0
,,New Jersey,11172,5424,5748,0,10535,5075,5460,0,4616,2625,1991,0,1803,1155,648,0,1096,684,412,0,784,450,334,0,43,23,20,0
,,New Mexico,2328,1222,1106,0,2199,1150,1049,0,1184,688,496,0,543,380,163,0,201,129,72,0,194,121,73,0,19,14,5,0
,,New York,22604,11283,11321,0,20099,9969,10130,0,9863,5566,4297,0,3344,2240,1104,0,1763,1120,643,0,1127,644,483,0,140,84,56,0
,,North Carolina,10187,5299,4888,0,9526,4908,4618,0,5121,3014,2107,0,2438,1662,776,0,1520,1006,514,0,1328,810,518,0,127,73,54,0
,,North Dakota,1029,497,532,0,985,476,509,0,399,229,170,0,171,119,52,0,182,115,67,0,76,39,37,0,14,8,6,0
,,Ohio,15946,8032,7914,0,15033,7522,7511,0,7422,4361,3061,0,3000,1993,1007,0,2377,1544,833,0,1675,958,717,0,137,83,54,0
,,Oklahoma,4334,2341,1993,0,4076,2184,1892,0,2430,1430,1000,0,1094,729,365,0,392,276,116,0,454,293,161,0,31,15,16,0
,,Oregon,3813,1892,1921,0,3681,1817,1864,0,1709,995,714,0,765,504,261,0,414,282,132,0,272,159,113,0,10,7,3,0
,,Pennsylvania,19932,10562,9370,0,18342,9665,8677,0,11001,6496,4505,0,4008,2724,1284,0,2693,1729,964,0,2271,1383,888,0,178,105,73,0
,,Puerto Rico,2737,1500,1237,0,2451,1328,1123,0,1567,959,608,0,355,287,68,0,245,184,61,0,246,174,72,0,29,20,9,0
,,Rhode Island,1229,577,652,0,1154,534,620,0,393,229,164,0,178,112,66,0,102,63,39,0,62,30,32,0,4,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South Carolina,5383,2839,2544,0,5086,2671,2415,0,3210,1918,1292,0,1413,1016,397,0,760,542,218,0,736,483,253,0,51,33,18,0
,,South Dakota,1111,558,553,0,1066,531,535,0,505,297,208,0,202,130,72,0,233,139,94,0,124,70,54,0,16,10,6,0
,,State unassigned,7828,4233,3594,1,7280,3915,3364,1,2596,1639,957,0,1279,937,342,0,640,457,183,0,477,316,161,0,26,11,15,0
,,Tennessee,8081,4151,3930,0,7535,3831,3704,0,4480,2600,1880,0,2090,1427,663,0,1156,766,390,0,974,588,386,0,129,70,59,0
,,Texas,28137,14538,13599,0,26064,13368,12696,0,14257,8535,5722,0,6831,4761,2070,0,2616,1826,790,0,3483,2135,1348,0,209,130,79,0
,,Utah,3496,1831,1665,0,3313,1737,1576,0,1426,861,565,0,703,459,244,0,375,249,126,0,259,156,103,0,13,8,5,0
,,Vermont,798,389,409,0,746,359,387,0,350,202,148,0,138,89,49,0,85,55,30,0,62,36,26,0,3,1,2,0
,,Virginia,10007,5058,4949,0,9398,4706,4692,0,4343,2574,1769,0,1762,1192,570,0,916,610,306,0,922,560,362,0,78,39,39,0
,,Washington,6425,3192,3233,0,6193,3069,3124,0,2805,1675,1130,0,1217,805,412,0,723,474,249,0,602,343,259,0,26,13,13,0
,,West Virginia,2429,1218,1211,0,2228,1109,1119,0,1445,805,640,0,495,329,166,0,377,243,134,0,271,158,113,0,42,27,15,0
,,Wisconsin,9144,4722,4422,0,8686,4479,4207,0,4235,2553,1682,0,1715,1179,536,0,1895,1194,701,0,867,502,365,0,42,26,16,0
,,Wyoming,686,377,309,0,647,352,295,0,360,231,129,0,184,140,44,0,112,82,30,0,75,47,28,0,1,1,0,0
,< 1 Year,All Donor States of Residence,3386,1918,1468,0,1856,1085,771,0,2339,1314,1025,0,2337,1319,1018,0,426,242,184,0,156,97,59,0,682,375,307,0
,,Alabama,60,35,25,0,32,20,12,0,34,22,12,0,40,23,17,0,6,3,3,0,1,1,0,0,7,4,3,0
,,Alaska,8,2,6,0,7,2,5,0,6,2,4,0,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Arizona,52,31,21,0,39,22,17,0,32,19,13,0,33,19,14,0,3,3,0,0,4,2,2,0,4,3,1,0
,,Arkansas,42,26,16,0,20,14,6,0,31,20,11,0,32,19,13,0,10,5,5,0,0,0,0,0,12,8,4,0
,,California,334,182,152,0,202,113,89,0,216,117,99,0,241,122,119,0,19,9,10,0,12,8,4,0,34,18,16,0
,,Colorado,51,29,22,0,23,12,11,0,31,19,12,0,37,22,15,0,6,3,3,0,0,0,0,0,10,5,5,0
,,Connecticut,23,17,6,0,18,13,5,0,18,14,4,0,16,12,4,0,2,2,0,0,1,0,1,0,3,3,0,0
,,Delaware,8,4,4,0,5,2,3,0,7,4,3,0,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0
,,District of Columbia,8,5,3,0,6,4,2,0,8,5,3,0,6,3,3,0,1,1,0,0,1,1,0,0,1,1,0,0
,,Florida,224,128,96,0,98,59,39,0,170,97,73,0,149,79,70,0,54,35,19,0,12,4,8,0,67,40,27,0
,,Georgia,110,63,47,0,48,27,21,0,77,45,32,0,92,53,39,0,18,12,6,0,4,3,1,0,31,18,13,0
,,Hawaii,7,6,1,0,4,4,0,0,4,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Idaho,20,9,11,0,12,4,8,0,13,4,9,0,13,5,8,0,3,0,3,0,1,1,0,0,5,0,5,0
,,Illinois,170,100,70,0,91,59,32,0,116,70,46,0,104,58,46,0,14,11,3,0,10,7,3,0,29,16,13,0
,,Indiana,75,46,29,0,41,26,15,0,54,32,22,0,58,37,21,0,17,12,5,0,4,3,1,0,20,12,8,0
,,Iowa,30,19,11,0,17,11,6,0,23,13,10,0,22,13,9,0,6,2,4,0,1,1,0,0,10,4,6,0
,,Kansas,53,26,27,0,31,17,14,0,34,15,19,0,35,14,21,0,7,5,2,0,1,1,0,0,15,6,9,0
,,Kentucky,50,28,22,0,27,18,9,0,45,27,18,0,40,23,17,0,8,3,5,0,0,0,0,0,14,6,8,0
,,Louisiana,54,28,26,0,23,17,6,0,45,21,24,0,40,24,16,0,12,4,8,0,3,2,1,0,17,7,10,0
,,Maine,8,2,6,0,6,2,4,0,7,1,6,0,5,1,4,0,7,1,6,0,1,0,1,0,7,1,6,0
,,Maryland,54,31,23,0,40,25,15,0,40,20,20,0,33,20,13,0,10,5,5,0,3,2,1,0,11,5,6,0
,,Massachusetts,32,23,9,0,17,12,5,0,21,14,7,0,20,14,6,0,2,1,1,0,2,1,1,0,9,5,4,0
,,Michigan,109,58,51,0,59,32,27,0,72,35,37,0,79,43,36,0,16,11,5,0,4,3,1,0,29,16,13,0
,,Minnesota,59,34,25,0,26,16,10,0,41,25,16,0,42,26,16,0,7,3,4,0,4,2,2,0,10,4,6,0
,,Mississippi,43,23,20,0,22,8,14,0,32,15,17,0,26,17,9,0,10,6,4,0,3,3,0,0,13,9,4,0
,,Missouri,80,40,40,0,39,17,22,0,51,25,26,0,53,25,28,0,12,5,7,0,6,4,2,0,20,11,9,0
,,Montana,14,11,3,0,7,4,3,0,11,8,3,0,12,11,1,0,2,1,1,0,0,0,0,0,4,3,1,0
,,Nebraska,24,11,13,0,8,5,3,0,19,8,11,0,13,7,6,0,4,2,2,0,2,2,0,0,7,2,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nevada,35,17,18,0,31,15,16,0,21,11,10,0,24,12,12,0,2,1,1,0,0,0,0,0,4,3,1,0
,,New Hampshire,5,1,4,0,3,1,2,0,5,1,4,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
,,New Jersey,69,33,36,0,44,16,28,0,43,23,20,0,47,23,24,0,6,2,4,0,5,4,1,0,11,7,4,0
,,New Mexico,26,17,9,0,13,10,3,0,21,12,9,0,19,12,7,0,3,1,2,0,1,0,1,0,3,2,1,0
,,New York,137,80,57,0,71,41,30,0,95,54,41,0,96,50,46,0,19,13,6,0,7,5,2,0,34,21,13,0
,,North Carolina,125,77,48,0,61,39,22,0,94,59,35,0,87,53,34,0,14,9,5,0,7,4,3,0,33,20,13,0
,,North Dakota,5,2,3,0,3,2,1,0,3,2,1,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,111,61,50,0,58,36,22,0,76,43,33,0,79,45,34,0,14,7,7,0,8,5,3,0,21,12,9,0
,,Oklahoma,43,25,18,0,29,16,13,0,28,15,13,0,29,15,14,0,3,1,2,0,1,0,1,0,7,2,5,0
,,Oregon,31,17,14,0,16,10,6,0,18,9,9,0,22,11,11,0,2,1,1,0,1,1,0,0,3,2,1,0
,,Pennsylvania,155,96,59,0,92,56,36,0,100,60,40,0,93,58,35,0,15,7,8,0,11,6,5,0,25,12,13,0
,,Puerto Rico,9,6,3,0,7,5,2,0,7,4,3,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Rhode Island,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,South Carolina,34,16,18,0,20,12,8,0,28,12,16,0,28,14,14,0,11,7,4,0,1,1,0,0,16,9,7,0
,,South Dakota,5,2,3,0,2,1,1,0,1,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,42,19,23,0,17,10,7,0,27,16,11,0,26,11,15,0,1,1,0,0,0,0,0,0,3,1,2,0
,,Tennessee,102,54,48,0,57,31,26,0,75,36,39,0,80,42,38,0,16,5,11,0,6,1,5,0,26,9,17,0
,,Texas,343,207,136,0,187,114,73,0,242,146,96,0,228,148,80,0,29,21,8,0,15,10,5,0,57,39,18,0
,,Utah,56,34,22,0,45,28,17,0,29,17,12,0,35,23,12,0,3,2,1,0,1,1,0,0,5,3,2,0
,,Vermont,4,3,1,0,2,1,1,0,4,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Virginia,81,42,39,0,48,28,20,0,56,28,28,0,59,30,29,0,10,6,4,0,6,3,3,0,15,9,6,0
,,Washington,63,27,36,0,36,19,17,0,37,17,20,0,40,18,22,0,5,2,3,0,1,1,0,0,8,3,5,0
,,West Virginia,17,8,9,0,11,5,6,0,16,7,9,0,13,5,8,0,6,3,3,0,3,3,0,0,7,3,4,0
,,Wisconsin,75,51,24,0,31,21,10,0,51,36,15,0,53,36,17,0,8,5,3,0,1,0,1,0,12,8,4,0
,,Wyoming,10,5,5,0,4,3,1,0,4,2,2,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,All Donor States of Residence,6694,3902,2792,0,6183,3598,2585,0,5363,3115,2248,0,2956,1709,1247,0,541,331,210,0,301,165,136,0,789,458,331,0
,,Alabama,106,57,49,0,98,51,47,0,88,49,39,0,45,27,18,0,6,3,3,0,4,1,3,0,12,6,6,0
,,Alaska,27,17,10,0,25,16,9,0,20,13,7,0,7,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Arizona,141,96,45,0,133,89,44,0,117,79,38,0,71,52,19,0,5,4,1,0,3,1,2,0,14,9,5,0
,,Arkansas,59,39,20,0,56,36,20,0,45,30,15,0,27,14,13,0,6,4,2,0,3,0,3,0,6,4,2,0
,,California,639,378,261,0,575,347,228,0,520,302,218,0,317,182,135,0,21,13,8,0,24,9,15,0,45,25,20,0
,,Colorado,75,48,27,0,64,40,24,0,57,33,24,0,32,23,9,0,3,1,2,0,2,2,0,0,9,7,2,0
,,Connecticut,43,23,20,0,41,22,19,0,32,14,18,0,15,7,8,0,3,3,0,0,4,3,1,0,7,4,3,0
,,Delaware,19,11,8,0,19,11,8,0,15,9,6,0,7,5,2,0,0,0,0,0,1,1,0,0,1,1,0,0
,,District of Columbia,7,5,2,0,7,5,2,0,5,4,1,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Florida,487,303,184,0,452,281,171,0,411,253,158,0,195,115,80,0,89,57,32,0,16,10,6,0,86,59,27,0
,,Georgia,224,120,104,0,212,111,101,0,183,95,88,0,116,63,53,0,19,9,10,0,11,2,9,0,31,18,13,0
,,Hawaii,15,8,7,0,14,7,7,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,59,37,22,0,57,36,21,0,46,29,17,0,26,17,9,0,0,0,0,0,3,2,1,0,1,1,0,0
,,Illinois,290,172,118,0,261,151,110,0,232,134,98,0,119,68,51,0,17,12,5,0,20,14,6,0,39,20,19,0
,,Indiana,159,92,67,0,151,89,62,0,133,77,56,0,68,40,28,0,27,16,11,0,12,6,6,0,24,14,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iowa,77,44,33,0,73,42,31,0,63,37,26,0,37,17,20,0,7,4,3,0,1,1,0,0,16,6,10,0
,,Kansas,97,48,49,0,85,41,44,0,76,40,36,0,45,20,25,0,8,3,5,0,4,1,3,0,15,10,5,0
,,Kentucky,96,59,37,0,88,54,34,0,76,46,30,0,41,25,16,0,13,9,4,0,2,1,1,0,17,8,9,0
,,Louisiana,136,85,51,0,124,78,46,0,119,73,46,0,66,41,25,0,20,12,8,0,7,3,4,0,20,11,9,0
,,Maine,19,8,11,0,18,8,10,0,17,8,9,0,13,6,7,0,1,0,1,0,0,0,0,0,2,1,1,0
,,Maryland,97,47,50,0,93,44,49,0,69,32,37,0,36,21,15,0,6,2,4,0,11,5,6,0,5,1,4,0
,,Massachusetts,54,30,24,0,51,29,22,0,41,23,18,0,20,12,8,0,3,2,1,0,3,0,3,0,5,4,1,0
,,Michigan,209,114,95,0,189,103,86,0,170,88,82,0,89,53,36,0,21,13,8,0,9,5,4,0,36,19,17,0
,,Minnesota,99,55,44,0,91,51,40,0,85,47,38,0,52,25,27,0,8,4,4,0,11,10,1,0,16,10,6,0
,,Mississippi,91,50,41,0,85,46,39,0,72,42,30,0,43,24,19,0,11,3,8,0,3,2,1,0,17,7,10,0
,,Missouri,157,78,79,0,137,66,71,0,134,66,68,0,83,40,43,0,19,7,12,0,14,6,8,0,25,12,13,0
,,Montana,22,7,15,0,20,6,14,0,20,7,13,0,14,4,10,0,2,1,1,0,0,0,0,0,3,2,1,0
,,Nebraska,47,27,20,0,41,24,17,0,41,25,16,0,20,14,6,0,6,3,3,0,2,2,0,0,8,4,4,0
,,Nevada,57,33,24,0,54,31,23,0,49,31,18,0,28,16,12,0,1,1,0,0,1,1,0,0,4,3,1,0
,,New Hampshire,7,4,3,0,7,4,3,0,7,4,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,166,88,78,0,153,80,73,0,118,66,52,0,72,40,32,0,7,6,1,0,9,4,5,0,14,8,6,0
,,New Mexico,47,27,20,0,43,25,18,0,40,24,16,0,19,16,3,0,4,1,3,0,4,2,2,0,1,1,0,0
,,New York,274,163,111,0,251,154,97,0,203,125,78,0,111,66,45,0,29,18,11,0,19,11,8,0,32,19,13,0
,,North Carolina,193,115,78,0,178,108,70,0,158,90,68,0,75,46,29,0,22,14,8,0,9,7,2,0,38,21,17,0
,,North Dakota,20,4,16,0,19,4,15,0,16,2,14,0,6,3,3,0,2,1,1,0,0,0,0,0,2,0,2,0
,,Ohio,232,144,88,0,213,132,81,0,182,113,69,0,90,56,34,0,18,13,5,0,10,3,7,0,24,15,9,0
,,Oklahoma,118,65,53,0,113,61,52,0,90,47,43,0,56,27,29,0,4,0,4,0,2,0,2,0,11,5,6,0
,,Oregon,75,44,31,0,68,39,29,0,62,39,23,0,38,20,18,0,2,2,0,0,0,0,0,0,2,2,0,0
,,Pennsylvania,284,180,104,0,274,173,101,0,220,136,84,0,107,61,46,0,20,12,8,0,21,9,12,0,26,13,13,0
,,Puerto Rico,33,22,11,0,33,22,11,0,24,17,7,0,4,3,1,0,2,2,0,0,0,0,0,0,4,2,2,0
,,Rhode Island,10,6,4,0,10,6,4,0,6,5,1,0,3,2,1,0,1,1,0,0,1,1,0,0,1,1,0,0
,,South Carolina,97,61,36,0,92,58,34,0,86,55,31,0,54,31,23,0,13,11,2,0,2,1,1,0,18,15,3,0
,,South Dakota,26,20,6,0,24,18,6,0,23,19,4,0,7,6,1,0,5,5,0,0,4,3,1,0,4,4,0,0
,,State unassigned,98,57,41,0,83,46,37,0,76,45,31,0,36,25,11,0,3,1,2,0,5,3,2,0,4,2,2,0
,,Tennessee,179,108,71,0,166,101,65,0,153,89,64,0,95,57,38,0,30,19,11,0,6,5,1,0,37,20,17,0
,,Texas,729,415,314,0,686,387,299,0,573,329,244,0,351,194,157,0,28,18,10,0,22,19,3,0,69,40,29,0
,,Utah,76,44,32,0,71,40,31,0,50,30,20,0,24,14,10,0,2,2,0,0,1,1,0,0,2,2,0,0
,,Vermont,7,4,3,0,7,4,3,0,6,4,2,0,4,2,2,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Virginia,142,86,56,0,134,82,52,0,108,66,42,0,57,38,19,0,11,6,5,0,7,4,3,0,14,7,7,0
,,Washington,102,57,45,0,94,52,42,0,79,42,37,0,46,25,21,0,3,1,2,0,2,1,1,0,9,6,3,0
,,West Virginia,46,23,23,0,43,22,21,0,34,16,18,0,18,7,11,0,2,2,0,0,4,1,3,0,3,3,0,0
,,Wisconsin,111,69,42,0,94,61,33,0,91,56,35,0,39,27,12,0,8,7,1,0,2,2,0,0,9,5,4,0
,,Wyoming,14,5,9,0,13,4,9,0,12,4,8,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,6-10 Years,All Donor States of Residence,4413,2686,1727,0,4306,2624,1682,0,3686,2250,1436,0,1709,1054,655,0,933,606,327,0,502,280,222,0,326,198,128,0
,,Alabama,83,44,39,0,81,44,37,0,71,36,35,0,28,15,13,0,8,4,4,0,7,4,3,0,6,4,2,0
,,Alaska,17,13,4,0,17,13,4,0,13,10,3,0,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arizona,83,57,26,0,80,56,24,0,73,50,23,0,26,18,8,0,10,7,3,0,5,5,0,0,8,7,1,0
,,Arkansas,43,22,21,0,42,22,20,0,35,19,16,0,21,12,9,0,9,4,5,0,5,2,3,0,3,0,3,0
,,California,405,257,148,0,390,250,140,0,352,227,125,0,175,111,64,0,77,59,18,0,51,29,22,0,20,13,7,0
,,Colorado,51,33,18,0,49,33,16,0,39,29,10,0,21,16,5,0,13,10,3,0,1,1,0,0,3,1,2,0
,,Connecticut,39,24,15,0,38,24,14,0,29,17,12,0,7,4,3,0,7,3,4,0,8,5,3,0,4,1,3,0
,,Delaware,17,8,9,0,17,8,9,0,12,5,7,0,2,1,1,0,3,1,2,0,2,1,1,0,0,0,0,0
,,District of Columbia,9,7,2,0,8,6,2,0,9,7,2,0,3,2,1,0,2,2,0,0,0,0,0,0,3,2,1,0
,,Florida,287,178,109,0,276,173,103,0,242,154,88,0,117,71,46,0,61,43,18,0,42,23,19,0,40,25,15,0
,,Georgia,156,99,57,0,155,99,56,0,124,78,46,0,81,51,30,0,18,13,5,0,23,14,9,0,16,9,7,0
,,Hawaii,16,11,5,0,15,10,5,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,30,21,9,0,29,20,9,0,25,16,9,0,12,9,3,0,6,4,2,0,1,0,1,0,4,4,0,0
,,Illinois,177,111,66,0,174,108,66,0,151,91,60,0,63,36,27,0,56,33,23,0,25,10,15,0,9,5,4,0
,,Indiana,106,59,47,0,102,57,45,0,87,51,36,0,41,20,21,0,27,14,13,0,13,5,8,0,7,6,1,0
,,Iowa,48,25,23,0,48,25,23,0,33,18,15,0,16,11,5,0,14,10,4,0,5,2,3,0,1,1,0,0
,,Kansas,67,41,26,0,66,41,25,0,52,34,18,0,28,16,12,0,11,6,5,0,9,5,4,0,3,3,0,0
,,Kentucky,64,37,27,0,62,36,26,0,52,31,21,0,22,15,7,0,14,9,5,0,6,3,3,0,4,1,3,0
,,Louisiana,98,58,40,0,95,56,39,0,87,50,37,0,40,27,13,0,26,14,12,0,13,9,4,0,7,6,1,0
,,Maine,20,12,8,0,20,12,8,0,15,9,6,0,8,4,4,0,0,0,0,0,3,2,1,0,2,1,1,0
,,Maryland,63,37,26,0,61,36,25,0,50,29,21,0,22,14,8,0,20,11,9,0,10,5,5,0,2,1,1,0
,,Massachusetts,39,17,22,0,39,17,22,0,33,15,18,0,15,9,6,0,7,5,2,0,3,1,2,0,4,2,2,0
,,Michigan,170,96,74,0,166,93,73,0,138,79,59,0,67,40,27,0,34,18,16,0,28,13,15,0,17,9,8,0
,,Minnesota,82,51,31,0,82,51,31,0,72,44,28,0,31,17,14,0,35,24,11,0,14,6,8,0,6,4,2,0
,,Mississippi,51,35,16,0,51,35,16,0,43,31,12,0,24,14,10,0,14,11,3,0,6,4,2,0,10,6,4,0
,,Missouri,100,64,36,0,97,62,35,0,88,55,33,0,39,28,11,0,14,9,5,0,17,12,5,0,11,8,3,0
,,Montana,23,16,7,0,23,16,7,0,20,15,5,0,11,5,6,0,3,1,2,0,2,1,1,0,1,1,0,0
,,Nebraska,24,14,10,0,23,14,9,0,20,12,8,0,6,2,4,0,12,8,4,0,2,1,1,0,6,2,4,0
,,Nevada,32,20,12,0,31,19,12,0,27,17,10,0,14,9,5,0,5,5,0,0,0,0,0,0,5,3,2,0
,,New Hampshire,7,4,3,0,7,4,3,0,5,2,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,New Jersey,97,53,44,0,92,49,43,0,71,38,33,0,30,20,10,0,20,12,8,0,8,6,2,0,4,2,2,0
,,New Mexico,32,17,15,0,31,16,15,0,31,16,15,0,13,7,6,0,2,2,0,0,2,1,1,0,2,1,1,0
,,New York,185,110,75,0,177,105,72,0,141,85,56,0,75,48,27,0,28,16,12,0,13,9,4,0,11,7,4,0
,,North Carolina,132,72,60,0,130,70,60,0,119,65,54,0,51,27,24,0,41,27,14,0,20,9,11,0,11,7,4,0
,,North Dakota,14,8,6,0,14,8,6,0,12,8,4,0,6,3,3,0,3,3,0,0,1,1,0,0,5,3,2,0
,,Ohio,157,99,58,0,154,96,58,0,125,78,47,0,53,37,16,0,51,33,18,0,19,8,11,0,9,7,2,0
